"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Markdown", "PostCSS", "TypeScript", "JSON with Comments", "TypeScript JSX", "Python", "XML", "HTML", "Docker", "C++", "comment", "blank", "total"
"e:\wireup.ai - new\INGESTION\backend\src\repositories\component.repository.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\wireup.ai - new\INGESTION\backend\src\repositories\componentVersion.repository.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"e:\wireup.ai - new\INGESTION\backend\src\repositories\ingestionJob.repository.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"e:\wireup.ai - new\INGESTION\backend\src\repositories\ingestionSetting.repository.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\wireup.ai - new\INGESTION\backend\src\repositories\registryCandidate.repository.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"e:\wireup.ai - new\INGESTION\backend\src\repositories\registrySnapshot.repository.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"e:\wireup.ai - new\INGESTION\backend\src\routes\ingestion.routes.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"e:\wireup.ai - new\INGESTION\backend\src\schemas\componentSchemas.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 75
"e:\wireup.ai - new\INGESTION\backend\src\services\candidateService.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"e:\wireup.ai - new\INGESTION\backend\src\services\discoveryScanService.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 101
"e:\wireup.ai - new\INGESTION\backend\src\services\ingestionService.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 164
"e:\wireup.ai - new\INGESTION\backend\src\services\registryExportService.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"e:\wireup.ai - new\INGESTION\backend\src\services\registrySnapshotService.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"e:\wireup.ai - new\INGESTION\backend\src\services\settingsService.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"e:\wireup.ai - new\INGESTION\backend\src\utils\asyncHandler.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\wireup.ai - new\INGESTION\backend\src\utils\hash.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\wireup.ai - new\INGESTION\backend\src\utils\httpError.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\wireup.ai - new\INGESTION\backend\src\utils\slugify.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\wireup.ai - new\INGESTION\backend\src\utils\stableStringify.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\wireup.ai - new\INGESTION\backend\src\validators\registryValidator.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 59
"e:\wireup.ai - new\INGESTION\frontend\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"e:\wireup.ai - new\INGESTION\frontend\eslint.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"e:\wireup.ai - new\INGESTION\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"e:\wireup.ai - new\INGESTION\frontend\package-lock.json", "JSON", 0, 2819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2820
"e:\wireup.ai - new\INGESTION\frontend\package.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"e:\wireup.ai - new\INGESTION\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\wireup.ai - new\INGESTION\frontend\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"e:\wireup.ai - new\INGESTION\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"e:\wireup.ai - new\INGESTION\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"e:\wireup.ai - new\INGESTION\frontend\src\api\http.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"e:\wireup.ai - new\INGESTION\frontend\src\api\ingestionApi.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 72
"e:\wireup.ai - new\INGESTION\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\wireup.ai - new\INGESTION\frontend\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"e:\wireup.ai - new\INGESTION\frontend\src\domain\families.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"e:\wireup.ai - new\INGESTION\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 108
